VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,trip_duration,normalized_distance,weather,zone
1,2015-01-26 14:34:43,2015-01-26 14:41:05,2,0.7,-73.98629760742188,40.726348876953125,1,N,-73.98966217041014,40.73336791992188,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3,382.0,-0.0012963576947734,Clear,Lower Manhattan
2,2015-01-02 18:16:44,2015-01-02 18:34:35,5,1.33,-73.98107147216798,40.76131820678711,1,N,-73.98406219482422,40.74925994873047,2,12.0,1.0,0.5,0.0,0.0,0.3,13.8,1071.0,-0.0012323861239339,Clear,Midtown Manhattan
2,2015-01-22 08:42:43,2015-01-22 08:58:27,4,5.0,-74.00735473632812,40.70540237426758,1,N,-73.9765625,40.75170135498047,1,17.0,0.0,0.5,4.45,0.0,0.3,22.25,944.0,-0.0008597263382497,Clear,Lower Manhattan
2,2015-01-24 10:48:15,2015-01-24 10:54:33,1,1.21,-74.00392913818358,40.72576904296875,1,N,-74.01535034179686,40.718170166015625,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,378.0,-0.0012445711850462,Clear,Lower Manhattan
1,2015-01-09 13:55:52,2015-01-09 14:04:42,1,1.3,-73.9920196533203,40.731048583984375,1,N,-74.004638671875,40.734012603759766,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,530.0,-0.001235432389212,Clear,Otra
2,2015-01-16 08:41:53,2015-01-16 08:48:54,6,1.13,-73.98244476318358,40.76814651489258,1,N,-73.96830749511719,40.76792144775391,1,7.0,0.0,0.5,1.4,0.0,0.3,9.2,421.0,-0.0012526945591211,Clear,Midtown Manhattan
2,2015-01-23 20:15:29,2015-01-23 20:21:44,1,1.14,-73.99501037597656,40.75047302246094,1,N,-74.0080795288086,40.74021530151367,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,375.0,-0.0012516791373617,Clear,Midtown Manhattan
1,2015-01-17 23:32:48,2015-01-17 23:43:23,1,1.2,-73.9727783203125,40.749141693115234,1,N,-73.98812866210938,40.7458610534668,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75,635.0,-0.0012455866068056,Clear,Otra
1,2015-01-31 05:01:56,2015-01-31 05:09:10,1,1.5,-73.99851989746092,40.74038696289063,1,N,-73.97555541992188,40.733074188232415,1,7.5,0.5,0.5,0.0,0.0,0.3,8.8,434.0,-0.0012151239540248,Clear,Midtown Manhattan
1,2015-01-30 20:51:17,2015-01-30 21:05:27,1,1.9,-73.97462463378906,40.74204254150391,1,N,-73.98197174072266,40.723979949951165,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15,850.0,-0.0011745070836505,Clear,Otra
